event_id,customer_id,order_id,event_timestamp,event_type,session_id,device_type,zone_context,api_latency_ms,success_flag
AE00001,C0488,,2024-08-09 03:25:00,eta_refresh,S19847,Android,north,301,1
AE00002,C0595,O00950,2024-02-13 22:29:00,search_route,S32766,Android,SOUTH,60,1
AE00003,C0494,O00170,2025-08-11 09:29:00,chat_opened,S99516,iOS,Airport,1118,1
AE00004,C0407,O00756,2025-08-23 17:38:00,eta_refresh,S41236,iOS,CENTRAL,442,1
AE00005,C0506,,2024-05-29 10:33:00,search_route,S12030,iOS,north,60,1
AE00006,C0498,O01196,2025-02-08 09:50:00,track_order,S66655,Web,West,499,1
AE00007,C0033,O00028,2025-04-20 19:06:00,chat_opened,S79495,Android,South,169,1
AE00008,C0091,O00076,2024-08-18 02:08:00,search_route,S59028,Android,Ctr,431,1
AE00009,C0421,O01222,2025-07-20 11:46:00,eta_refresh,S76526,Web,North,609,1
AE00010,C0553,O00854,2024-07-10 13:11:00,chat_opened,S24618,Android,WEST,167,1
AE00011,C0643,O00192,2025-05-10 11:23:00,delivery_instruction_update,S22799,iOS,Ctr,182,1
AE00012,C0095,O01080,2025-12-10 19:11:00,chat_escalated,S57519,Android,Ctr,60,1
AE00013,C0479,O00414,2024-05-28 15:11:00,chat_escalated,S37114,Web,WEST,399,0
AE00014,C0626,O01054,2025-04-04 13:19:00,track_order,S75243,Android,AIRPORT,998,1
AE00015,C0014,O00860,2024-08-16 15:27:00,chat_opened,S71663,Android,WEST,238,1
AE00016,C0506,,2024-01-13 06:22:00,search_route,S47757,iOS,RiverSide,536,1
AE00017,C0170,O00424,2024-04-04 06:22:00,chat_escalated,S30048,Android,North,624,0
AE00018,C0530,O00295,2025-11-12 08:58:00,delivery_instruction_update,S76990,Android,NORTH,626,1
AE00019,C0179,O00628,2025-03-31 17:14:00,track_order,S88326,Android,South,707,1
AE00020,C0116,O01065,2025-10-25 19:05:00,chat_opened,S81897,Android,NORTH,196,1
AE00021,C0317,,2025-09-22 05:58:00,search_route,S89590,Android,Ctr,494,1
AE00022,C0188,O00844,2024-03-28 22:47:00,delivery_instruction_update,S29750,iOS,South,760,1
AE00023,C0543,O00854,2024-10-16 14:48:00,chat_opened,S76975,iOS,north,644,1
AE00024,C0022,O01082,2024-03-11 19:51:00,track_order,S59171,Android,EAST,60,1
AE00025,C0486,,2025-06-27 22:42:00,track_order,S29906,iOS,North,350,1
AE00026,C0490,O00330,2024-11-16 23:54:00,eta_refresh,S93151,Android,NORTH,388,1
AE00027,C0574,O00077,2024-05-12 06:04:00,delivery_instruction_update,S14580,iOS,Riverside,886,1
AE00028,C0166,,2024-09-27 00:44:00,track_order,S26243,Android,South,570,1
AE00029,C0367,,2024-03-27 16:30:00,payment_retry,S27022,Android,EAST,435,1
AE00030,C0455,O00229,2025-06-07 02:10:00,chat_opened,S74816,iOS,West,403,1
AE00031,C0241,O01158,2024-06-09 05:13:00,track_order,S52070,iOS,Airport,1660,1
AE00032,C0226,O00402,2025-09-20 00:20:00,search_route,S18892,Android,EAST,632,1
AE00033,C0587,O00742,2025-01-03 09:32:00,track_order,S56165,Android,north,520,1
AE00034,C0245,,2025-08-21 08:08:00,search_route,S39479,Android,CENTRAL,510,1
AE00035,C0017,,2025-10-08 17:17:00,payment_retry,S20798,iOS,SOUTH,60,1
AE00036,C0007,O00977,2025-05-03 17:47:00,chat_escalated,S19561,iOS,Ctr,362,0
AE00037,C0160,,2025-08-26 22:16:00,chat_opened,S73982,Android,East,458,1
AE00038,C0166,O00475,2025-09-25 11:47:00,eta_refresh,S10481,iOS,WEST,324,1
AE00039,C0274,,2024-01-09 23:40:00,payment_retry,S24754,iOS,Ctr,528,1
AE00040,C0532,O01015,2025-11-17 09:32:00,search_route,S82851,iOS,WEST,724,1
