complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount
CP0001,C0464,O00814,AppIssue,App,High,2025-03-30 02:36:00,Open,11,23.99
CP0002,C0056,O00628,MissedPickup,Phone,Medium,2024-11-07 10:05:00,Open,4,21.64
CP0003,C0469,O00384,Delay,Chatbot,High,2024-01-02 15:47:00,Open,16,26.41
CP0004,C0631,O00406,Delay,App,Medium,2025-01-14 13:07:00,AwaitingCustomer,7,23.44
CP0005,C0535,O00154,Delay,Email,Medium,2024-08-31 05:56:00,Resolved,1,16.18
CP0006,C0096,O00147,Delay,App,Medium,2024-07-22 07:43:00,Resolved,9,18.51
CP0007,C0597,O00981,MissedPickup,App,Medium,2025-01-15 21:57:00,Escalated,4,14.14
CP0008,C0309,O00902,AppIssue,Email,High,2024-09-26 19:41:00,Resolved,18,
CP0009,C0340,O00011,Delay,App,Low,2025-08-16 04:19:00,Resolved,4,26.35
CP0010,C0486,O00417,DriverBehaviour,Phone,Medium,2025-01-13 15:33:00,Open,1,6.32
CP0011,C0618,O00437,Delay,App,Medium,2025-09-29 06:54:00,Open,15,19.97
CP0012,C0362,O00504,AppIssue,Email,High,2024-09-20 22:57:00,Resolved,12,33.8
CP0013,C0157,O00008,MissedPickup,Phone,Medium,2024-04-08 17:54:00,Resolved,8,15.77
CP0014,C0545,O00980,Billing,Chatbot,Medium,2024-11-30 23:02:00,Resolved,14,7.08
CP0015,C0486,O00417,Delay,Chatbot,Low,2025-01-18 15:33:00,Open,4,0.0
CP0016,C0234,O00013,MissedPickup,App,Medium,2024-03-30 22:11:00,Resolved,10,0.0
CP0017,C0346,O01181,Delay,Phone,Medium,2024-03-06 23:10:00,Resolved,1,1.16
CP0018,C0100,O01151,MissedPickup,Chatbot,Medium,2024-07-05 12:48:00,Resolved,1,9.39
CP0019,C0228,O00702,AppIssue,App,Medium,2025-01-07 19:23:00,Resolved,1,19.24
CP0020,C0371,O01043,DriverBehaviour,Phone,High,2024-08-04 17:26:00,Resolved,11,33.27
CP0021,C0354,O00353,Delay,Chatbot,Medium,2024-01-09 05:14:00,Resolved,5,26.95
CP0022,C0516,O00117,Damage,Chatbot,Low,2024-06-18 09:38:00,AwaitingCustomer,10,15.62
CP0023,C0193,O00953,DriverBehaviour,App,Low,2025-04-03 01:07:00,Resolved,14,0.93
CP0024,C0519,O00677,AppIssue,Chatbot,Medium,2024-03-11 05:19:00,Escalated,9,
CP0025,C0617,O00654,Delay,App,Medium,2025-06-19 21:03:00,Resolved,4,11.64
CP0026,C0408,O00810,SupportExperience,App,Medium,2024-04-16 03:37:00,Resolved,13,18.44
CP0027,C0626,O00948,Delay,Email,Low,2025-05-19 03:07:00,Resolved,1,2.18
CP0028,C0242,O00920,Delay,Phone,Medium,2024-08-02 11:42:00,Resolved,1,13.31
CP0029,C0477,O00715,MissedPickup,Chatbot,Medium,2025-06-27 13:42:00,Resolved,9,4.01
CP0030,C0529,O00682,Delay,Email,High,2024-10-07 09:57:00,Escalated,22,34.84
CP0031,C0618,O00886,Billing,Phone,Medium,2024-12-11 11:04:00,Escalated,2,30.35
CP0032,C0185,O00051,Billing,Phone,Medium,2025-02-14 23:39:00,Resolved,7,7.09
CP0033,C0489,O00848,MissedPickup,App,Medium,2025-06-13 14:13:00,Resolved,8,34.92
CP0034,C0070,O00105,DriverBehaviour,App,Medium,2024-07-13 20:33:00,AwaitingCustomer,1,4.09
CP0035,C0206,O00650,Delay,Email,Low,2025-10-03 10:28:00,Resolved,5,0.0
CP0036,C0282,O00751,Delay,App,Medium,2024-07-08 00:51:00,AwaitingCustomer,2,42.3
CP0037,C0561,O00270,MissedPickup,Chatbot,Medium,2025-11-05 15:25:00,AwaitingCustomer,18,7.33
CP0038,C0562,O00175,Delay,Chatbot,Medium,2025-12-19 19:13:00,Resolved,1,19.48
CP0039,C0231,O00797,Delay,Email,High,2025-03-28 04:08:00,Resolved,14,24.39
CP0040,C0512,O00300,Delay,Email,High,2024-04-11 00:39:00,Resolved,9,
CP0041,C0146,O00744,MissedPickup,Chatbot,Medium,2025-04-27 03:30:00,Open,9,30.4
CP0042,C0361,O00094,SupportExperience,Email,Medium,2024-10-06 03:41:00,Resolved,4,26.2
CP0043,C0497,O00411,AppIssue,App,Medium,2025-04-16 21:05:00,Resolved,11,15.35
CP0044,C0549,O00838,MissedPickup,Email,High,2025-01-28 00:04:00,Resolved,11,25.0
CP0045,C0599,O00421,DriverBehaviour,Email,Medium,2025-07-24 06:00:00,AwaitingCustomer,6,8.74
CP0046,C0269,O00573,MissedPickup,Email,High,2024-04-27 09:36:00,Resolved,9,60.3
CP0047,C0012,O01157,AppIssue,Phone,Medium,2024-07-09 19:51:00,Resolved,11,19.21
CP0048,C0393,O00576,MissedPickup,Phone,High,2024-09-14 19:49:00,Resolved,22,22.5
CP0049,C0146,O00126,DriverBehaviour,Email,Medium,2024-05-27 09:04:00,Resolved,4,19.76
CP0050,C0163,O00955,DriverBehaviour,Phone,High,2025-01-11 14:30:00,Resolved,14,37.36
CP0051,C0274,O00863,AppIssue,Phone,Medium,2025-09-22 18:41:00,Resolved,2,3.9
CP0052,C0157,O00115,SupportExperience,App,Low,2024-02-25 06:31:00,Escalated,3,0.0
CP0053,C0543,O01236,SupportExperience,Phone,High,2025-05-29 22:57:00,Resolved,13,26.07
CP0054,C0224,O00453,Delay,App,Medium,2024-12-07 12:49:00,Resolved,1,36.38
CP0055,C0186,O00836,MissedPickup,Chatbot,High,2025-09-23 16:20:00,Resolved,14,60.3
CP0056,C0368,O00737,Delay,Email,Low,2024-03-20 03:53:00,Open,9,7.02
CP0057,C0191,O00125,Delay,App,Medium,2025-09-23 16:27:00,Resolved,5,24.91
CP0058,C0271,O00056,SupportExperience,App,Medium,2025-10-09 20:28:00,Escalated,1,10.06
CP0059,C0351,O00603,Delay,Email,High,2024-03-04 23:29:00,Resolved,11,59.75
CP0060,C0490,O00869,MissedPickup,App,Low,2024-03-05 05:39:00,Resolved,4,0.0
CP0061,C0545,O00980,DriverBehaviour,Phone,Medium,2024-12-07 23:02:00,AwaitingCustomer,11,52.16
CP0062,C0162,O00367,Delay,Email,Low,2025-07-16 09:35:00,Resolved,14,0.0
CP0063,C0164,O01219,Billing,App,High,2025-06-28 09:52:00,Escalated,10,51.86
CP0064,C0215,O00311,AppIssue,Chatbot,High,2024-11-30 00:06:00,Resolved,5,47.81
CP0065,C0162,O00367,AppIssue,Email,Low,2025-07-23 09:35:00,Resolved,5,18.74
CP0066,C0552,O00741,AppIssue,Email,Medium,2025-06-11 01:28:00,Resolved,10,25.09
CP0067,C0599,O00954,MissedPickup,App,Low,2024-07-22 02:17:00,Resolved,6,0.0
CP0068,C0166,O00743,Damage,App,Low,2024-02-13 01:34:00,Resolved,10,0.0
CP0069,C0583,O00163,Delay,Chatbot,Medium,2025-06-20 18:36:00,Resolved,4,35.96
CP0070,C0255,O00206,Delay,Phone,Medium,2025-12-20 14:25:00,Escalated,7,28.5
CP0071,C0092,O00870,Delay,Chatbot,Medium,2024-11-05 14:16:00,AwaitingCustomer,10,17.48
CP0072,C0495,O00581,Billing,App,Medium,2025-12-10 05:52:00,Open,9,20.18
CP0073,C0331,O00073,Delay,App,Medium,2025-04-07 04:59:00,AwaitingCustomer,12,0.0
CP0074,C0475,O00268,Delay,Chatbot,High,2024-01-30 06:20:00,Resolved,7,
CP0075,C0071,O00974,Delay,Phone,Low,2025-06-22 00:41:00,Resolved,1,7.08
CP0076,C0028,O00290,MissedPickup,Chatbot,Low,2024-09-26 22:30:00,Open,15,0.0
CP0077,C0573,O00031,Billing,Email,High,2024-11-02 03:17:00,Resolved,13,58.46
CP0078,C0261,O01162,AppIssue,Email,Low,2025-06-09 10:51:00,AwaitingCustomer,1,18.23
CP0079,C0498,O00475,Delay,Chatbot,Medium,2024-11-11 06:08:00,Resolved,1,0.0
CP0080,C0201,O00789,DriverBehaviour,App,Medium,2024-12-20 10:30:00,Resolved,6,18.79
CP0081,C0051,O01085,Delay,App,Medium,2024-06-25 08:05:00,Open,1,19.53
CP0082,C0578,O00515,Delay,App,Medium,2024-02-06 10:24:00,Escalated,7,10.81
CP0083,C0586,O00098,DriverBehaviour,Email,Medium,2024-04-03 20:18:00,Escalated,5,3.16
CP0084,C0647,O00272,DriverBehaviour,Chatbot,Medium,2024-12-16 05:03:00,Resolved,9,27.67
CP0085,C0622,O00190,Delay,Phone,Low,2025-01-05 06:44:00,Escalated,17,18.19
