customer_id,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status
C0001,26,North,SME,2024-11-27 04:25:00,44.9,69.2,App,Active
C0002,61,AIRPORT,Consumer,2025-10-28 01:04:00,55.4,66.6,App,Active
C0003,66,East,Consumer,2025-07-02 03:23:00,75.9,33.8,,Active
C0004,75,CENTRAL,Consumer,2025-08-19 01:58:00,32.5,33.0,App,Active
C0005,26,Riverside,Consumer,2025-06-03 06:02:00,55.9,100.0,Web,Active
C0006,41,WEST,Consumer,2024-03-29 13:26:00,39.9,43.3,Web,Active
C0007,54,WEST,Consumer,2024-03-12 07:05:00,36.1,39.0,App,Active
C0008,70,north,SME,2025-07-18 13:03:00,84.6,65.2,Web,Active
C0009,34,South,Consumer,2025-08-02 03:14:00,62.6,40.8,App,Active
C0010,23,West,Consumer,2025-10-07 20:37:00,87.2,48.6,Phone,Active
C0011,49,Ctr,Consumer,2024-03-04 18:37:00,79.9,72.5,Web,Active
C0012,60,Airport,Consumer,2025-02-10 01:14:00,46.3,74.4,App,Active
C0013,30,EAST,Enterprise,2024-02-17 17:54:00,31.3,51.7,App,Active
C0014,62,North,Consumer,2024-05-16 09:26:00,94.1,81.0,App,Active
C0015,37,SOUTH,SME,2024-05-27 17:07:00,54.5,52.8,Phone,Active
C0016,21,Riverside,Consumer,2025-08-07 09:35:00,42.7,50.9,Web,Active
C0017,30,South,SME,2025-11-29 05:06:00,72.1,55.4,App,Active
C0018,56,WEST,Consumer,2025-08-18 18:40:00,63.2,49.6,Web,Dormant
C0019,67,Riverside,Consumer,2024-07-11 11:06:00,50.3,65.5,App,Dormant
C0020,67,North,SME,2025-07-14 22:04:00,55.5,60.8,App,Active
C0021,30,CENTRAL,SME,2025-07-31 01:39:00,63.6,40.8,Phone,Active
C0022,71,RiverSide,Consumer,2024-07-29 15:43:00,62.2,58.9,App,Active
C0023,52,South,Consumer,2025-06-28 13:49:00,73.1,45.2,Web,Active
C0024,66,WEST,Consumer,2024-11-17 14:37:00,55.3,44.5,App,Active
C0025,23,Riverside,Consumer,2025-04-09 11:19:00,55.5,52.8,App,Active
C0026,34,NORTH,Enterprise,2024-09-11 05:44:00,70.6,74.8,Phone,Active
C0027,53,WEST,SME,2024-09-06 02:36:00,66.0,60.7,Web,Dormant
C0028,22,Ctr,Consumer,2024-11-03 16:31:00,78.5,79.6,App,Active
C0029,44,CENTRAL,Consumer,2024-12-17 23:28:00,57.0,85.2,App,Active
C0030,63,West,Consumer,2024-10-21 19:04:00,59.4,54.8,App,Active
