driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag
D001,AIRPORT,FullTime,8,67.8,3.54,Morning,1
D002,Central,FullTime,4,42.4,3.94,Evening,1
D003,AIRPORT,FullTime,11,96.5,5.0,Evening,1
D004,Airport,PartTime,13,88.9,4.75,Morning,1
D005,north,FullTime,3,69.7,4.14,Morning,1
D006,CENTRAL,FullTime,8,78.8,4.38,Flexible,1
D007,North,FullTime,4,92.6,3.94,Evening,1
D008,SOUTH,FullTime,9,84.1,3.88,Morning,1
D009,Airport,FullTime,15,63.4,3.8,Night,1
D010,West,FullTime,8,70.0,3.95,Evening,1
D011,East,FullTime,3,89.4,3.85,Night,1
D012,SOUTH,FullTime,10,95.1,4.48,Night,1
D013,West,FullTime,11,80.8,4.31,Morning,1
D014,NORTH,FullTime,6,76.1,4.7,Evening,1
D015,East,FullTime,11,85.1,4.34,Morning,1
D016,AIRPORT,FullTime,6,81.9,4.31,Evening,1
D017,EAST,PartTime,1,,4.34,Morning,1
D018,WEST,PartTime,14,73.8,4.57,Flexible,1
D019,Riverside,FullTime,11,73.4,3.82,Flexible,0
D020,East,FullTime,6,,4.61,Evening,1
D021,South,FullTime,7,91.8,4.24,Evening,1
D022,EAST,FullTime,9,68.7,3.36,Flexible,1
D023,EAST,FullTime,11,79.1,4.16,Night,1
D024,RiverSide,PartTime,8,71.4,3.35,Evening,1
D025,North,FullTime,1,86.4,3.72,Morning,1
D026,NORTH,PartTime,4,84.9,3.15,Night,0
D027,AIRPORT,PartTime,12,74.3,3.7,Night,1
D028,North,FullTime,11,83.0,4.07,Flexible,1
D029,EAST,Contract,2,70.2,3.84,Flexible,1
D030,CENTRAL,FullTime,7,74.0,4.56,Night,1
D031,NORTH,FullTime,10,91.5,4.03,Flexible,1
D032,East,PartTime,6,81.5,3.99,Evening,1
D033,South,PartTime,9,59.8,4.05,Night,1
D034,West,FullTime,11,71.3,4.27,Morning,1
D035,Ctr,FullTime,5,66.2,3.71,Flexible,0
D036,Airport,PartTime,9,79.3,4.69,Morning,1
D037,north,PartTime,7,63.9,4.67,Morning,1
D038,SOUTH,FullTime,5,67.4,3.72,Evening,1
D039,AIRPORT,Contract,7,86.1,4.06,Evening,1
D040,Riverside,FullTime,7,55.6,4.4,Night,1
D041,EAST,PartTime,3,88.2,3.67,Morning,1
D042,North,FullTime,9,70.5,3.37,Night,1
D043,NORTH,FullTime,13,80.3,4.6,Evening,0
D044,AIRPORT,FullTime,11,79.4,4.05,Night,1
D045,NORTH,FullTime,2,59.6,4.12,Flexible,1
D046,South,FullTime,5,82.2,4.06,Morning,1
D047,South,FullTime,7,64.6,4.7,Morning,1
D048,East,FullTime,7,76.3,3.45,Flexible,1
D049,CENTRAL,Contract,14,41.4,4.0,Morning,1
D050,NORTH,FullTime,6,87.4,3.9,Evening,1
D051,WEST,FullTime,3,75.4,3.58,Evening,1
D052,Riverside,FullTime,8,71.7,3.39,Morning,1
D053,West,FullTime,5,83.3,3.8,Morning,1
D054,WEST,FullTime,3,80.1,4.32,Morning,1
D055,Central,FullTime,15,90.5,5.0,Flexible,1
D056,West,FullTime,12,74.6,4.45,Evening,1
D057,WEST,FullTime,6,75.0,4.25,Morning,1
D058,AIRPORT,FullTime,9,82.7,4.27,Flexible,1
D059,north,FullTime,7,82.8,4.22,Night,1
D060,South,FullTime,4,76.0,4.49,Morning,1
D061,RiverSide,Contract,8,85.9,4.38,Evening,1
D062,South,FullTime,10,62.4,4.48,Flexible,1
D063,north,PartTime,12,85.7,4.03,Morning,1
D064,SOUTH,PartTime,14,88.9,4.18,Morning,1
D065,Riverside,FullTime,14,59.6,4.02,Morning,1
D066,SOUTH,PartTime,1,83.3,4.13,Flexible,1
D067,WEST,FullTime,11,77.0,4.84,Morning,1
D068,Central,PartTime,10,83.9,3.99,Flexible,1
D069,NORTH,PartTime,2,61.5,5.0,Evening,0
D070,South,FullTime,9,67.0,5.0,Flexible,1
D071,CENTRAL,PartTime,12,56.7,4.49,Evening,1
D072,South,FullTime,10,75.8,4.47,Evening,1
D073,East,FullTime,11,76.9,4.58,Evening,1
D074,Central,FullTime,12,79.5,4.61,Evening,1
D075,Airport,FullTime,13,99.0,3.62,Evening,1
D076,East,FullTime,15,61.6,3.88,Morning,1
D077,South,FullTime,8,64.9,3.68,Morning,1
D078,north,FullTime,11,73.7,4.28,Morning,1
D079,South,PartTime,1,,4.48,Night,1
D080,Central,FullTime,11,,4.35,Flexible,1
D081,RiverSide,PartTime,1,82.0,4.78,Flexible,1
D082,WEST,PartTime,14,74.1,4.63,Evening,1
D083,North,FullTime,12,80.8,4.16,Flexible,1
D084,Central,PartTime,2,47.2,3.99,Evening,1
D085,North,PartTime,9,84.5,4.11,Evening,0
D086,north,PartTime,14,70.6,5.0,Flexible,1
D087,north,Contract,13,73.3,4.43,Night,1
D088,Riverside,Contract,4,84.3,4.17,Morning,1
D089,Ctr,FullTime,2,71.1,4.57,Night,1
D090,NORTH,FullTime,8,58.0,3.78,Morning,1
D091,Riverside,FullTime,12,68.0,4.46,Night,1
D092,East,FullTime,15,88.2,4.24,Evening,1
D093,South,PartTime,12,75.2,4.43,Flexible,1
D094,Ctr,PartTime,6,60.8,4.48,Night,0
D095,WEST,FullTime,12,99.0,3.15,Night,1
D096,Ctr,FullTime,4,56.4,4.03,Morning,1
D097,West,FullTime,2,79.1,4.48,Flexible,1
D098,SOUTH,Contract,3,70.9,4.29,Morning,1
D099,NORTH,Contract,10,82.7,3.48,Night,1
D100,CENTRAL,FullTime,4,62.0,4.31,Flexible,1
D101,WEST,FullTime,8,75.6,4.48,Morning,1
D102,East,PartTime,10,67.6,4.62,Morning,1
D103,Central,FullTime,15,72.5,4.4,Morning,1
D104,WEST,FullTime,15,87.7,3.45,Morning,1
D105,RiverSide,Contract,2,82.0,3.71,Morning,1
D106,Central,Contract,12,71.9,3.66,Morning,1
D107,RiverSide,FullTime,14,57.0,4.82,Flexible,1
D108,South,FullTime,10,70.6,4.33,Morning,1
D109,Central,Contract,14,68.1,3.94,Morning,1
D110,RiverSide,Contract,7,40.6,4.1,Morning,1
D111,Airport,FullTime,15,79.2,4.12,Night,1
D112,East,FullTime,14,79.1,4.51,Morning,1
D113,AIRPORT,PartTime,8,70.5,4.47,Evening,1
D114,Ctr,FullTime,2,57.4,4.07,Evening,1
D115,South,FullTime,11,69.5,4.77,Morning,1
D116,CENTRAL,FullTime,4,58.2,4.19,Morning,1
D117,north,FullTime,1,71.1,3.93,Flexible,1
D118,NORTH,FullTime,1,80.6,4.88,Night,1
D119,South,FullTime,5,56.0,3.55,Flexible,1
D120,North,PartTime,3,76.9,3.72,Morning,1
D121,RiverSide,Contract,3,,4.97,Morning,1
D122,South,FullTime,2,63.5,4.29,Morning,1
D123,RiverSide,FullTime,3,93.5,4.12,Flexible,1
D124,north,FullTime,4,70.6,3.78,Night,1
D125,NORTH,PartTime,15,90.5,4.07,Morning,1
D126,East,PartTime,9,69.7,4.1,Evening,1
D127,CENTRAL,FullTime,10,61.5,4.19,Morning,1
D128,Central,Contract,13,84.7,3.32,Morning,1
D129,north,FullTime,10,64.9,4.18,Night,1
D130,WEST,FullTime,8,71.2,3.64,Evening,1
