incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours
I0001,DL00221,BatteryAlert,2024-03-11 23:46:00,Medium,Escalated,12.3
I0002,DL00578,BatteryAlert,2024-02-21 10:56:00,Low,Open,9.6
I0003,DL00175,TemperatureIssue,2025-04-17 23:22:00,Medium,Open,22.0
I0004,DL00417,ProofMissing,2025-02-09 00:16:00,Medium,Closed,9.8
I0005,DL00897,RouteDeviation,2025-01-04 02:49:00,Low,Open,13.0
I0006,DL00634,CustomerNoShow,2025-08-08 21:26:00,High,PendingVendor,19.9
I0007,DL00495,AppSyncError,2024-05-23 02:29:00,Low,PendingVendor,4.8
I0008,DL00602,RouteDeviation,2024-08-17 01:27:00,Medium,Closed,12.1
I0009,DL00636,CustomerNoShow,2024-08-24 22:28:00,Medium,Closed,15.8
I0010,DL00052,CustomerNoShow,2025-05-06 14:17:00,Medium,Closed,9.4
I0011,DL00376,CustomerNoShow,2024-09-21 19:17:00,Medium,Closed,20.4
I0012,DL00366,RouteDeviation,2025-07-24 06:39:00,Medium,Escalated,18.7
I0013,DL00253,BatteryAlert,2024-09-30 07:49:00,High,Closed,20.9
I0014,DL00075,VehicleFault,2024-08-06 04:32:00,High,Open,5.0
I0015,DL00607,ProofMissing,2024-09-11 17:48:00,High,Closed,
I0016,DL00724,AppSyncError,2024-10-10 08:26:00,Low,PendingVendor,18.7
I0017,DL00809,ProofMissing,2025-02-27 00:31:00,Low,Closed,
I0018,DL00574,AppSyncError,2025-11-08 21:55:00,High,Closed,10.5
I0019,DL00685,BatteryAlert,2024-02-12 07:05:00,High,Closed,11.3
I0020,DL00921,TemperatureIssue,2025-01-04 04:14:00,Critical,Closed,3.3
I0021,DL00186,SafetyNearMiss,2024-01-14 06:44:00,Medium,Escalated,4.8
I0022,DL00097,BatteryAlert,2024-07-17 01:29:00,Medium,Escalated,26.8
I0023,DL00904,ProofMissing,2025-08-19 08:30:00,Medium,Escalated,4.8
I0024,DL00850,ProofMissing,2025-08-30 22:55:00,Low,Closed,12.0
I0025,DL00413,BatteryAlert,2024-08-30 02:36:00,Medium,PendingVendor,5.7
I0026,DL00254,RouteDeviation,2024-12-29 16:12:00,High,Closed,16.8
I0027,DL00474,VehicleFault,2025-02-25 04:16:00,Medium,Closed,4.3
I0028,DL00479,RouteDeviation,2024-11-03 04:12:00,Low,Closed,21.2
I0029,DL00198,VehicleFault,2024-12-08 08:07:00,Medium,Open,11.8
I0030,DL00448,RouteDeviation,2024-08-30 15:06:00,Low,Escalated,20.9
I0031,DL00587,ProofMissing,2024-01-12 10:43:00,Low,Escalated,16.7
I0032,DL00181,VehicleFault,2024-08-26 02:02:00,Low,Open,11.3
I0033,DL00694,BatteryAlert,2024-03-31 09:38:00,Medium,Open,4.3
I0034,DL00684,AppSyncError,2024-02-06 14:01:00,Medium,PendingVendor,23.7
I0035,DL00882,AppSyncError,2024-06-26 15:00:00,Low,Closed,0.8
I0036,DL00272,VehicleFault,2025-09-02 17:36:00,Low,Closed,7.8
I0037,DL00938,TemperatureIssue,2024-04-04 06:40:00,High,Closed,13.3
I0038,DL00032,ProofMissing,2025-01-29 06:31:00,Medium,Closed,5.2
I0039,DL00208,SafetyNearMiss,2024-04-13 05:39:00,High,Closed,2.6
I0040,DL00573,ProofMissing,2024-05-08 00:38:00,Medium,Escalated,8.1
I0041,DL00072,SafetyNearMiss,2025-11-20 07:56:00,Medium,Closed,17.3
I0042,DL00547,TemperatureIssue,2025-10-07 21:18:00,Medium,Closed,22.7
I0043,DL00009,AppSyncError,2024-04-12 22:42:00,Low,Open,20.1
I0044,DL00590,ProofMissing,2024-08-31 06:13:00,Critical,Closed,3.2
I0045,DL00341,BatteryAlert,2024-11-14 01:36:00,Medium,Open,12.2
I0046,DL00014,ProofMissing,2024-05-07 14:02:00,High,PendingVendor,6.9
I0047,DL00919,SafetyNearMiss,2025-12-26 23:23:00,Medium,Open,23.6
I0048,DL00265,RouteDeviation,2024-06-28 12:42:00,Low,Closed,2.2
I0049,DL00493,BatteryAlert,2025-08-09 21:45:00,Medium,Closed,24.3
I0050,DL00207,CustomerNoShow,2024-03-17 01:48:00,High,Open,20.9
