vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version
V001,EV,North,2024-12-28 23:48:00,71.8,56928,Active,v2.2
V002,EV,AIRPORT,2024-04-21 16:14:00,67.9,159368,InRepair,v2.2
V003,CargoVan,north,2025-11-24 23:59:00,91.7,219359,Active,v2.1
V004,Hybrid,RiverSide,2024-06-07 13:21:00,,36310,Active,v2.2
V005,CargoVan,West,2025-11-15 11:08:00,58.6,146638,Active,v2.2
V006,EV,Central,2025-11-22 06:39:00,78.6,141381,Active,v2.1
V007,Diesel,AIRPORT,2025-09-17 08:52:00,68.6,78468,Active,v2.2
V008,EV,RiverSide,2025-06-14 03:47:00,90.5,49711,Active,v2.0
V009,CargoVan,South,2025-05-01 08:50:00,68.8,156687,Active,v2.1
V010,CargoVan,NORTH,2025-10-07 22:40:00,50.7,129032,InRepair,v2.1
V011,Diesel,Riverside,2025-12-21 04:26:00,74.1,43518,InRepair,v2.1
V012,Hybrid,SOUTH,2024-04-15 00:26:00,56.2,52021,Active,v2.1
V013,CargoVan,WEST,2025-07-17 18:07:00,68.3,153106,Scheduled,v2.0
V014,EV,AIRPORT,2025-05-24 12:36:00,100.0,206339,Scheduled,v2.0
V015,CargoVan,Airport,2024-06-02 13:54:00,78.2,67614,InRepair,v1.9
V016,EV,WEST,2024-10-13 19:38:00,63.5,84395,Active,v2.1
V017,Hybrid,RiverSide,2024-04-23 12:54:00,82.4,169703,InRepair,v2.2
V018,Diesel,RiverSide,2025-04-08 22:29:00,86.8,98363,Scheduled,v2.1
V019,Diesel,SOUTH,2024-10-21 23:22:00,70.4,151460,Scheduled,v2.2
V020,Hybrid,Riverside,2024-10-26 11:25:00,82.3,187051,Scheduled,v2.1
V021,Diesel,CENTRAL,2025-06-22 17:38:00,83.0,71294,Active,v2.2
V022,Hybrid,South,2025-01-28 20:20:00,89.6,44499,Scheduled,v2.1
V023,Hybrid,EAST,2024-01-07 23:54:00,70.7,188387,Active,v2.1
V024,EV,East,2025-05-26 12:28:00,74.9,56967,Active,v2.1
V025,Diesel,AIRPORT,2024-11-03 05:34:00,42.0,52074,Active,v2.1
V026,CargoVan,Riverside,2024-11-07 04:27:00,78.7,200276,InRepair,v2.2
V027,Diesel,SOUTH,2025-08-12 12:37:00,78.6,51052,InRepair,v2.2
V028,EV,East,2024-08-25 02:52:00,75.4,149698,Active,v2.0
V029,EV,north,2024-12-04 10:53:00,,130270,Active,v2.0
V030,CargoVan,North,2025-09-14 07:20:00,78.0,134360,Active,v2.1
V031,EV,East,2024-07-28 13:57:00,89.3,193526,Active,v1.9
V032,CargoVan,NORTH,2024-01-11 00:03:00,74.1,102207,Active,v1.9
V033,EV,AIRPORT,2024-09-19 18:57:00,78.6,55241,InRepair,v2.2
V034,EV,Riverside,2025-05-24 09:58:00,94.2,210683,InRepair,v2.0
V035,CargoVan,East,2025-07-03 09:34:00,83.6,73804,Active,v2.0
V036,Diesel,North,2025-09-26 13:33:00,90.4,215767,InRepair,v2.1
V037,CargoVan,South,2025-06-13 23:43:00,56.6,52146,InRepair,v1.9
V038,CargoVan,CENTRAL,2025-03-16 12:29:00,81.6,68032,Active,v2.1
V039,EV,EAST,2025-01-01 01:38:00,69.5,37024,InRepair,v1.9
V040,EV,CENTRAL,2025-11-23 11:28:00,90.0,133770,Active,v2.0
V041,EV,East,2024-01-11 21:04:00,78.4,88129,Active,v2.2
V042,EV,East,2025-06-21 07:06:00,80.5,215870,InRepair,v1.9
V043,EV,South,2025-02-23 11:32:00,76.4,149922,Scheduled,v2.0
V044,EV,AIRPORT,2025-02-14 20:35:00,91.8,111243,Active,v2.2
V045,EV,EAST,2025-08-10 04:56:00,88.0,190688,Active,v2.2
V046,EV,north,2024-07-11 13:31:00,95.8,101425,Active,v1.9
V047,EV,Ctr,2025-02-15 14:49:00,93.7,134347,Scheduled,v2.2
V048,Diesel,Central,2025-10-01 18:21:00,76.1,87659,Active,v2.1
V049,Diesel,East,2025-12-09 16:47:00,55.9,15278,Active,v2.2
V050,EV,RiverSide,2024-04-04 05:23:00,96.5,114188,Active,v2.1
V051,EV,North,2024-11-21 11:04:00,87.8,141107,Active,v2.0
V052,Hybrid,Riverside,2024-11-14 16:11:00,95.4,182486,Active,v1.9
V053,CargoVan,WEST,2024-04-23 20:57:00,73.7,122638,Scheduled,v2.0
V054,Hybrid,North,2024-10-28 22:21:00,76.7,90558,Scheduled,v2.2
V055,Hybrid,East,2025-06-05 13:40:00,83.3,85635,Active,v2.1
V056,EV,CENTRAL,2024-06-09 16:18:00,78.4,29849,Active,v2.2
V057,EV,Riverside,2025-06-07 06:32:00,76.0,160770,InRepair,v2.0
V058,Hybrid,CENTRAL,2024-07-11 13:11:00,74.1,15138,Active,v2.0
V059,Hybrid,AIRPORT,2024-03-02 20:36:00,85.2,188332,InRepair,v2.1
V060,CargoVan,Ctr,2025-09-09 03:22:00,80.2,65113,InRepair,v2.0
V061,Diesel,South,2025-08-06 20:40:00,60.3,126438,Active,v2.2
V062,Hybrid,North,2024-02-13 22:26:00,89.9,113343,Active,v2.0
